id,name,rating,userRatingCount,websiteUri,formattedAddress,latitude,longitude
"ChIJX4IgfedfwokRtPVwrmMXQ5c","Massage Spa","3.5","15","","85-14 Queens Blvd #B, Elmhurst, NY 11373, USA","40.73657","-73.878269"
"ChIJG7uRNRdfwokRvQbAO4hMrn4","Royal Beauty Studio","4.8","739","https://royalbeauty.nyc/","107-29 71st Ave, Forest Hills, NY 11375, USA","40.721061","-73.844619"
"ChIJWQFjoCBewokR3M02NnTXHg4","Hills Barber Shop","4.7","1147","https://square.site/book/S2KYEMA7XSZ86/hills-barber-shop-forest-hills-ny","72-23 Austin St, Forest Hills, NY 11375, USA","40.7191611","-73.8417889"
"ChIJu9x7z0xfwokRsmQOWcW6MiM","All Seasons Spa (Queens)","4.4","163","https://fourseasonsbeautyspa.wixsite.com/locations/108st-queens","64-38 108th St, Forest Hills, NY 11375, USA","40.731701","-73.84937099999999"
"ChIJHx6k5KhhwokRmdJV0jSViwI","Thread","4.7","495","https://booking.mangomint.com/thread","149-17 Union Tpke, Flushing, NY 11367, USA","40.718910099999995","-73.8132533"
"ChIJVR2bYUdhwokRnyDvAOYtbag","Sun Spa","3.8","13","","77-22 164th St, Flushing, NY 11366, USA","40.7237663","-73.8050662"
"ChIJBUuBfSVewokRAzY8V2x_NNE","Gi Gi Nail Spa","4.6","440","http://www.giginailsalon.com/","102-07 67th Dr, Forest Hills, NY 11375, USA","40.7264197","-73.8512568"
"ChIJa2JBLplgwokR13OYRplJWuI","M Beauty Spa","4.2","333","http://www.mbeautyspany.com/","107-50 Queens Blvd, Forest Hills, NY 11375, USA","40.7212982","-73.84459030000001"
"ChIJBZWKllRhwokRRyXvpYuB_o4","European Wax Center","4.8","879","https://locations.waxcenter.com/ny/freshmeadows/fresh-meadows-0499.html?utm_source=google&utm_medium=search&utm_content=local-listing&utm_campaign=gmb-listing&utm_term=ewc-gmb","61-38 190th St, Fresh Meadows, NY 11365, USA","40.7403566","-73.7845552"
"ChIJhzoxpw1hwokRfhOf7qkwBIU","Swan Spa","4.1","181","http://www.swanspany.net/","185-24 Horace Harding Expy, Fresh Meadows, NY 11365, USA","40.7398793","-73.7884816"
"ChIJqSPnJ6ZhwokR7XzsWHzhZis","Larisa’s Salon","4.5","149","https://www.larisasalon.com/","75-84 179th St, Flushing, NY 11366, USA","40.7267309","-73.7894994"
"ChIJReWqR09hwokR5NePgbMi81w","Angel Spa Massage","3.7","7","","180-04 Union Tpke, Flushing, NY 11366, USA","40.7267836","-73.7877166"
"ChIJo2vGVmJhwokRyB-3KfNpLm8","Yaffa Salon & Spa","4.9","464","http://www.yaffasalon.com/","222-14 Union Tpke, Hollis Hills, NY 11364, USA","40.735350499999996","-73.7481038"
"ChIJ651_yyBiwokR9t3zTLVe5p0","Golden one nail&spa","4.4","192","https://goldenonenailspa.wixsite.com/11364","224-21 Union Tpke, Queens, NY 11364, USA","40.7361377","-73.7459756"
"ChIJ89yvcYphwokREyLXzxuf_c0","Groomurrs","4.6","297","http://www.groomurrs.com/","78-39 Springfield Blvd, Oakland Gardens, NY 11364, USA","40.736174899999995","-73.74670429999999"
"ChIJ6QcrbORhwokRNEyyeW37F0I","SHENG YAO MASSAGE","4.7","21","https://shengyaomassage.com/","88-01 208th St Ground 1, Queens Village, NY 11427, USA","40.722072","-73.757661"
